,ast,blka,block_above_3,block_in_paint,block_lcorner_3,block_mid_range,block_rcorner_3,block_res,dreb,fga,min,oreb,shot_above_3,shot_in_paint,shot_lcorner_3,shot_mid_range,shot_rcorner_3,shot_res,stl
203382,5.1,12,0.0,0.24999979166684028,0.0,0.0,0.0,0.7499993750005208,8.9,223,2461.455,2.1,0.22421523658227638,0.12556053248607477,0.022421523658227638,0.08520178990126502,0.026905828389873165,0.5156950441392357,2.5999999999999996
1627759,5.1,43,0.0232558085451608,0.27906970254192964,0.0,0.0,0.0232558085451608,0.6744184478096632,8.9,792,2461.455,2.1,0.25126262309011843,0.1565656545888175,0.03282828241378431,0.1275252509150852,0.06439393858088462,0.3674242377850475,2.5999999999999996
1628408,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,21,2461.455,2.1,0.28571414965992875,0.19047609977328583,0.0,0.09523804988664292,0.09523804988664292,0.3333331746032502,2.5999999999999996
202330,5.1,27,0.03703702331962099,0.25925916323734693,0.03703702331962099,0.03703702331962099,0.0,0.6296293964335569,8.9,635,2461.455,2.1,0.251968499969,0.157480312480625,0.0503936999938,0.21889763434806875,0.059842518742637504,0.2614173187178375,2.5999999999999996
201143,5.1,29,0.0,0.37931021403096066,0.0,0.03448274673008733,0.0,0.5862066944114847,8.9,722,2461.455,2.1,0.2520775588354909,0.19806093908502856,0.01246537378856823,0.23545706045073325,0.01662049838475764,0.2853185556050062,2.5999999999999996
1626154,5.1,1,0.0,0.0,0.0,0.0,0.0,0.9999900000999989,8.9,13,2461.455,2.1,0.7692301775152481,0.0,0.0,0.07692301775152481,0.0,0.15384603550304962,2.5999999999999996
202681,5.1,45,0.044444434567903424,0.3555554765432274,0.0,0.08888886913580685,0.0,0.5111109975308894,8.9,1240,2461.455,2.1,0.30241935239984397,0.1596774180671176,0.024999999798387098,0.22741935300468263,0.02096774176638918,0.2645161268990635,2.5999999999999996
202694,5.1,36,0.027777770061730538,0.13888885030865267,0.0,0.1666666203703832,0.0,0.6666664814815328,8.9,840,2461.455,2.1,0.3785714240646259,0.12619047468820863,0.04523809469954649,0.20833333085317463,0.0345238091128118,0.2071428546768708,2.5999999999999996
1628400,5.1,9,0.0,0.22222197530891633,0.11111098765445816,0.22222197530891633,0.11111098765445816,0.3333329629633745,8.9,157,2461.455,2.1,0.3439490226784062,0.07006368980486052,0.10828024788023899,0.08917196884254976,0.10828024788023899,0.2802547592194421,2.5999999999999996
1626179,5.1,26,0.0,0.3461537130178027,0.0,0.03846152366864474,0.0,0.6153843786983159,8.9,666,2461.455,2.1,0.400900894881368,0.15915915676938203,0.06606606507408311,0.13213213014816622,0.03753753697391086,0.20420420113807505,2.5999999999999996
203935,5.1,13,0.0,0.30769207100609924,0.0,0.0,0.0,0.6923071597637233,8.9,567,2461.455,2.1,0.44620810500514807,0.11992945114762874,0.08112874636457237,0.0723104043684232,0.08289241476380221,0.19753086071374143,2.5999999999999996
1628369,5.1,49,0.040816318200751385,0.265306068304884,0.020408159100375693,0.040816318200751385,0.0,0.6326529321116464,8.9,1036,2461.455,2.1,0.21428571221731937,0.1303088790510726,0.03957528919328872,0.26640926383774843,0.04633204588482581,0.3030888001632355,2.5999999999999996
1628464,5.1,15,0.0,0.46666635555576297,0.0,0.0,0.0,0.5333329777780148,8.9,266,2461.455,2.1,0.23308269800440987,0.12030074735711477,0.0037593983549098365,0.13909773913166396,0.015037593419639346,0.48872178613827877,2.5999999999999996
